iso3,year,terrorism,self_defense,sovereignty,humanitarian,whataboutism,procedural,historical,group,period
QAT,2012,0.0,0.0,0.0,0.5608524957936063,0.0,0.0,0.5608524957936063,Non-Aligned Movement,2009–2013
GHA,2012,0.0,0.0,0.0,0.45187528242205155,0.0,0.45187528242205155,0.0,Non-Aligned Movement,2009–2013
MOZ,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Non-Aligned Movement,2009–2013
TCD,2010,0.5995203836930455,0.0,0.0,2.398081534772182,0.0,0.5995203836930455,0.0,Non-Aligned Movement,2009–2013
SYR,2013,11.373578302712161,0.0,1.7497812773403325,1.3123359580052494,0.4374453193350831,0.8748906386701663,0.4374453193350831,Non-Aligned Movement,2009–2013
CAF,2013,1.0104412260020208,0.0,0.0,5.389019872010778,0.0,0.3368137420006736,0.0,Non-Aligned Movement,2009–2013
KOR,2013,2.3331777881474567,0.0,0.0,1.8665422305179655,0.0,0.0,0.0,Non-Aligned Movement,2009–2013
BDI,2010,0.0,0.0,0.0,0.0,0.0,0.6688963210702341,0.0,Non-Aligned Movement,2009–2013
MYS,2011,5.847953216374268,0.0,0.0,1.299545159194282,0.0,0.0,0.649772579597141,Non-Aligned Movement,2009–2013
COG,2012,1.001001001001001,0.0,0.0,1.5015015015015014,0.0,0.0,0.0,Non-Aligned Movement,2009–2013
MWI,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Non-Aligned Movement,2009–2013
BGD,2013,2.2603978300180834,0.0,0.0,0.4520795660036166,0.0,0.0,0.0,Non-Aligned Movement,2009–2013
STP,2012,0.4899559039686428,0.0,0.0,0.0,0.0,0.4899559039686428,0.0,Non-Aligned Movement,2009–2013
BEL,2014,7.562536358347876,0.0,0.0,0.5817335660267597,0.0,0.0,0.0,Western bloc,2014–2019
FIN,2015,0.0,0.0,0.0,0.8992805755395684,0.0,0.0,0.0,Western bloc,2014–2019
CIV,2018,1.4265335235378032,0.0,0.0,1.4265335235378032,0.0,1.4265335235378032,0.0,Western bloc,2014–2019
SVK,2014,1.199040767386091,0.0,0.0,0.0,0.0,1.199040767386091,0.0,Western bloc,2014–2019
PRT,2016,1.7878426698450536,0.0,0.0,1.7878426698450536,0.0,1.7878426698450536,0.0,Western bloc,2014–2019
CHE,2016,1.976284584980237,0.0,0.0,1.3175230566534915,0.0,0.0,0.0,Western bloc,2014–2019
ISL,2015,0.5241090146750524,0.0,0.0,2.620545073375262,0.0,0.5241090146750524,0.0,Western bloc,2014–2019
LTU,2014,4.784688995215311,0.0,3.189792663476874,0.0,0.0,0.0,0.0,Western bloc,2014–2019
SMR,2014,0.7032348804500703,0.0,0.7032348804500703,1.4064697609001406,0.0,0.0,0.0,Western bloc,2014–2019
AUS,2018,0.9049773755656109,0.0,0.0,0.9049773755656109,0.0,1.8099547511312217,0.0,Western bloc,2014–2019
ESP,2015,5.610098176718092,0.0,0.9350163627863488,1.402524544179523,0.0,1.402524544179523,0.9350163627863488,Western bloc,2014–2019
SWE,2016,0.6053268765133172,0.0,0.0,1.2106537530266344,0.0,1.8159806295399517,0.0,Western bloc,2014–2019
HRV,2018,0.7153075822603719,0.0,0.0,0.35765379113018597,0.0,0.0,0.0,Western bloc,2014–2019
ROU,2019,4.826254826254826,0.0,0.0,0.0,0.0,0.9652509652509653,0.0,Western bloc,2014–2019
NLD,2014,0.0,0.0,0.0,0.9881422924901185,0.0,0.0,0.0,Western bloc,2014–2019
DNK,2019,0.0,0.0,0.5257623554153522,0.0,0.0,0.0,0.0,Western bloc,2014–2019
NOR,2014,4.694835680751174,0.0,0.0,3.912363067292645,0.0,1.5649452269170578,0.0,Western bloc,2014–2019
NOR,2016,2.4844720496894412,0.0,0.0,3.7267080745341614,0.0,1.8633540372670807,0.0,Western bloc,2014–2019
ITA,2015,3.1446540880503147,0.0,0.0,0.0,0.0,0.0,0.7861635220125787,Western bloc,2014–2019
CAN,2017,0.0,0.3056234718826406,0.0,0.0,0.0,0.0,0.6112469437652812,Western bloc,2014–2019
ITA,2016,2.9086678301337985,0.0,0.0,0.0,0.0,0.0,0.0,Western bloc,2014–2019
NZL,2016,0.482392667631452,0.0,0.482392667631452,1.447178002894356,0.0,0.482392667631452,0.0,Western bloc,2014–2019
DEU,2015,1.0683760683760686,0.0,0.5341880341880343,1.6025641025641024,0.0,0.5341880341880343,0.0,Western bloc,2014–2019
SVN,2016,0.9514747859181732,0.0,0.0,0.0,0.0,2.8544243577545196,0.0,Western bloc,2014–2019
PRT,2019,1.2239902080783354,0.0,0.0,0.0,0.0,1.8359853121175032,0.6119951040391677,Western bloc,2014–2019
UKR,2018,0.0,0.0,0.3318951211417192,0.0,0.0,1.659475605708596,0.0,Soviet/Eastern bloc,2014–2019
GEO,2016,0.0,0.0,0.4278990158322636,0.0,0.0,0.0,0.0,Soviet/Eastern bloc,2014–2019
UZB,2017,2.0100502512562817,0.0,0.0,0.0,0.0,0.0,0.0,Soviet/Eastern bloc,2014–2019
VNM,2016,1.41643059490085,0.0,0.0,0.708215297450425,0.0,5.6657223796034,0.0,Soviet/Eastern bloc,2014–2019
MDA,2016,2.7068832173240525,0.0,0.7733952049497294,0.3866976024748647,0.0,1.9334880123743232,0.0,Soviet/Eastern bloc,2014–2019
KAZ,2017,6.373937677053824,0.0,0.0,1.0623229461756376,0.0,0.0,0.0,Soviet/Eastern bloc,2014–2019
ARM,2015,1.3071895424836601,0.0,0.0,4.575163398692811,0.0,0.0,0.6535947712418301,Soviet/Eastern bloc,2014–2019
UZB,2016,2.185792349726776,0.0,1.092896174863388,1.092896174863388,0.0,1.092896174863388,0.0,Soviet/Eastern bloc,2014–2019
KGZ,2017,2.34375,0.0,0.390625,0.390625,0.0,0.0,1.5625,Soviet/Eastern bloc,2014–2019
MDA,2015,1.3992537313432836,0.0,0.9328358208955224,0.0,0.0,2.798507462686567,0.0,Soviet/Eastern bloc,2014–2019
TJK,2015,6.238003838771593,0.0,0.0,0.9596928982725528,0.0,0.0,0.0,Soviet/Eastern bloc,2014–2019
TJK,2014,1.799640071985603,0.0,0.0,0.0,0.0,0.5998800239952009,0.0,Soviet/Eastern bloc,2014–2019
RUS,2015,4.176035978156119,0.0,0.32123353678124,0.0,0.0,2.56986829424992,0.32123353678124,Soviet/Eastern bloc,2014–2019
MNG,2014,2.663115845539281,0.0,0.0,0.0,0.0,0.6657789613848203,0.6657789613848203,Soviet/Eastern bloc,2014–2019
PRK,2019,0.0,0.0,4.301075268817204,0.0,0.0,0.0,0.0,Soviet/Eastern bloc,2014–2019
PRK,2015,0.0,0.0,0.4651162790697675,0.0,0.0,1.86046511627907,0.0,Soviet/Eastern bloc,2014–2019
RUS,2019,2.6720106880427523,0.0,0.6680026720106881,0.0,0.6680026720106881,3.006012024048096,0.6680026720106881,Soviet/Eastern bloc,2014–2019
UKR,2019,0.0,0.0,0.6435006435006435,0.0,0.0,0.6435006435006435,0.6435006435006435,Soviet/Eastern bloc,2014–2019
KAZ,2015,4.2682926829268295,0.0,0.6097560975609756,0.0,0.0,2.4390243902439024,0.6097560975609756,Soviet/Eastern bloc,2014–2019
ARM,2014,0.5841121495327103,0.0,0.0,7.593457943925234,0.0,0.5841121495327103,0.0,Soviet/Eastern bloc,2014–2019
