iso3,year,terrorism,self_defense,sovereignty,humanitarian,whataboutism,procedural,historical,period
CHN,2005,0.9896091044037606,0.0,0.0,0.4948045522018803,0.0,0.9896091044037606,0.4948045522018803,2002–2008
ESP,2006,2.8506271379703536,0.0,0.5701254275940707,0.5701254275940707,0.0,0.0,0.5701254275940707,2002–2008
ERI,2002,4.383561643835616,0.0,0.547945205479452,1.095890410958904,0.0,0.0,0.0,2002–2008
AUS,2003,6.769230769230769,0.0,0.6153846153846154,0.6153846153846154,0.0,0.6153846153846154,0.0,2002–2008
HUN,2009,0.0,0.0,0.7204610951008645,2.161383285302594,0.0,0.0,0.0,2009–2013
SEN,2009,0.32362459546925565,0.0,0.0,0.0,0.0,0.0,0.0,2009–2013
KGZ,2012,1.5460729746444033,0.0,0.0,0.6184291898577613,0.0,0.30921459492888065,0.6184291898577613,2009–2013
BRB,2011,2.295684113865932,0.0,0.4591368227731864,0.4591368227731864,0.0,0.0,0.4591368227731864,2009–2013
GRC,2011,0.5184033177812338,0.0,0.0,0.5184033177812338,0.0,1.5552099533437014,0.0,2009–2013
SMR,2011,1.5151515151515151,0.0,0.0,1.5151515151515151,0.0,0.0,0.0,2009–2013
GNB,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009–2013
HRV,2010,3.2278889606197545,0.0,0.0,2.5823111684958038,0.0,0.6455777921239509,0.0,2009–2013
PSE,2012,1.2070006035003018,0.0,0.0,0.30175015087507545,0.0,0.9052504526252263,0.30175015087507545,2009–2013
AUS,2010,3.9344262295081966,0.0,0.0,0.6557377049180327,0.0,0.0,0.0,2009–2013
NGA,2012,2.0418580908626853,0.0,0.0,0.0,0.0,0.0,0.0,2009–2013
COG,2011,0.5558643690939411,0.0,0.0,0.5558643690939411,0.0,0.0,0.0,2009–2013
MAR,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009–2013
ALB,2011,0.0,0.0,0.0,0.0,0.0,1.6066838046272494,0.0,2009–2013
GRD,2009,0.4308487720809996,0.0,0.0,0.4308487720809996,0.0,0.4308487720809996,0.4308487720809996,2009–2013
LTU,2009,1.1025358324145536,0.0,0.0,0.0,0.0,1.1025358324145536,0.0,2009–2013
AUT,2012,0.0,0.0,0.0,3.1545741324921135,0.0,1.2618296529968456,0.0,2009–2013
GAB,2010,0.5307855626326964,0.0,0.0,0.5307855626326964,0.0,0.5307855626326964,0.0,2009–2013
PAN,2009,0.48661800486618007,0.0,0.0,0.0,0.0,0.0,0.0,2009–2013
BIH,2009,0.0,0.0,0.0,0.8729812309035355,0.0,0.0,0.8729812309035355,2009–2013
ARG,2010,1.1261261261261262,0.0,0.7507507507507507,0.0,0.7507507507507507,0.0,1.1261261261261262,2009–2013
